Date,Event Name,Venue,Location
2015-10-02,Public Image Ltd (PiL) @ O2 Shepherd's Bush Empire,O2 Shepherd's Bush Empire,"London, UK"
2015-09-30,"No Joy @ The Victoria, Dalston","The Victoria, Dalston","London, UK"
2015-09-26,Ugly Kid Joe @ The Underworld,The Underworld,"Camden, UK"
2015-09-04,End of the Road Festival 2015 @ Larmer Tree Gardens,Larmer Tree Gardens,"Salisbury, UK"
2015-08-30,TV On The Radio @ Roundhouse,Roundhouse,"London, UK"
2015-07-31,Standon Calling 2015 @ Standon Lordship,Standon Lordship,"Standon, UK"
2015-07-23,Goldie @ Royal Festival Hall,Royal Festival Hall,"London, UK"
2015-06-24,Fleetwood Mac @ The O2,The O2,"London, UK"
2015-06-20,British Summer Time Festival 2015 @ Hyde Park,Hyde Park,"London, UK"
2015-06-18,British Summer Time Festival 2015 @ Hyde Park,Hyde Park,"London, UK"
2015-06-12,GoGo Penguin @ KOKO,KOKO,"London, UK"
2015-06-11,Blanck Mass @ ATP Pop Up Venue (formerly Ground Floor of Total Refreshment Centre),ATP Pop Up Venue (formerly Ground Floor of Total Refreshment Centre),"London, UK"
2015-06-05,Föllakzoid @ ATP Pop Up Venue (formerly Ground Floor of Total Refreshment Centre),ATP Pop Up Venue (formerly Ground Floor of Total Refreshment Centre),"London, UK"
2015-05-28,Young Fathers @ KOKO,KOKO,"London, UK"
2015-05-24,Ride @ Roundhouse,Roundhouse,"London, UK"
2015-04-24,Jon Hopkins @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2015-04-20,Godspeed You! Black Emperor @ O2 Shepherd's Bush Empire,O2 Shepherd's Bush Empire,"London, UK"
2015-04-10,Courtney Barnett @ Electric Ballroom,Electric Ballroom,"London, UK"
2015-04-03,Wolf Alice @ O2 Shepherd's Bush Empire,O2 Shepherd's Bush Empire,"London, UK"
2015-03-27,GoGo Penguin @ Union Chapel,Union Chapel,"Islington, UK"
